id,move_id,account_id,partner_id,date,name,debit,credit,balance,currency_id,analytic_distribution,reconciled
310,"[109, 'INV/2026/00049']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-05-03,"BLOCK CARAMEL (LAMINA, LLANO)",0.0,1.0,-1.0,"[33, 'MXN']",False,False
311,"[109, 'INV/2026/00049']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.0,0.16,-0.16,"[33, 'MXN']",False,True
312,"[109, 'INV/2026/00049']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00049,1.16,0.0,1.16,"[33, 'MXN']",False,True
307,"[108, 'INV/2026/00048']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-05-03,"BLOCK CARAMEL (LAMINA, RIEGOS)",0.0,1.0,-1.0,"[33, 'MXN']",False,False
308,"[108, 'INV/2026/00048']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.0,0.16,-0.16,"[33, 'MXN']",False,True
309,"[108, 'INV/2026/00048']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00048,1.16,0.0,1.16,"[33, 'MXN']",False,True
294,"[104, 'INV/2026/00047']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-05-03,"BLOCK CARAMEL (LAMINA, LLANO)",0.0,1.0,-1.0,"[33, 'MXN']",False,False
295,"[104, 'INV/2026/00047']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.0,0.16,-0.16,"[33, 'MXN']",False,True
296,"[104, 'INV/2026/00047']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00047,1.16,0.0,1.16,"[33, 'MXN']",False,True
291,"[103, 'INV/2026/00046']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-05-03,"BLOCK CARAMEL (LAMINA, RIEGOS)",0.0,1.0,-1.0,"[33, 'MXN']",False,False
